ID_music,music,artists,total_artists,released_year,released_month,released_day,released_date,day_week_released,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
228,Hummingbird ,"James Blake, Metro Boomin",2,2023,6,2,2/6/2023,Sexta-Feira,277,1,39666245,1,20,5,0,81,F#,Major,59,26,60,46,1,25,13
229,Seu Brilho Sumiu ,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,1/3/2023,Quarta-Feira,967,5,138517666,7,29,51,1,154,F#,Major,63,75,92,31,0,91,5
230,Bad Habit,Steve Lacy,1,2022,6,29,29/6/2022,Quarta-Feira,8186,12,822633917,155,72,131,16,169,C#,Major,69,69,51,63,0,38,4
231,Cuff It,Beyoncé,1,2022,7,29,29/7/2022,Sexta-Feira,7842,10,595900742,215,88,330,26,115,G,Major,78,64,69,4,0,7,14
232,Lilith ,"Halsey, Suga",2,2023,6,5,5/6/2023,Segunda-Feira,215,6,51985779,6,14,8,2,84,A,Minor,43,14,74,1,0,19,8
233,69,"Nicky Jam, Feid",2,2023,5,18,18/5/2023,Quinta-Feira,1134,22,57945987,39,14,48,2,93,G#,Major,79,58,62,11,0,11,23
234,Niña Bonita,"Sean Paul, Feid",2,2023,4,21,21/4/2023,Sexta-Feira,1305,34,115010040,29,26,43,5,91,G,Major,82,47,62,10,0,10,15
235,Search & Rescue,Drake,1,2023,4,7,7/4/2023,Sexta-Feira,2066,6,175097833,58,70,43,0,142,A#,Minor,82,54,44,6,0,33,7
236,America Has A Problem ,"Kendrick Lamar, Beyoncé",2,2023,5,19,19/5/2023,Sexta-Feira,896,0,57089066,34,2,33,0,126,C#,Major,78,20,70,1,0,16,4
237,Lavender Haze,Taylor Swift,1,2022,10,21,21/10/2022,Sexta-Feira,3763,8,488386797,51,43,38,10,97,A#,Major,73,10,44,26,0,16,8
238,Link Up ,"WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,2/6/2023,Sexta-Feira,197,0,32761689,3,10,3,0,101,F,Major,92,59,51,41,51,26,8
239,Efecto,Bad Bunny,1,2022,5,6,6/5/2022,Sexta-Feira,4004,33,1047480053,34,65,43,6,98,G,Minor,80,23,48,14,0,6,5
240,Erro Gostoso ,Simone Mendes,1,2023,1,27,27/1/2023,Sexta-Feira,984,5,153454328,8,57,76,2,154,F#,Major,59,63,89,18,0,80,9
241,Cupido,Tini,1,2023,2,14,14/2/2023,Terça-Feira,1240,24,217672943,51,29,63,4,120,A,Major,91,63,58,52,0,31,22
242,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,17/10/2022,Segunda-Feira,3995,13,457184829,72,27,47,0,150,B,Major,49,4,55,7,0,6,3
243,Unstoppable,Sia,1,2016,1,21,21/1/2016,Quinta-Feira,7681,13,939844851,119,66,1.145,2,174,A,Major,47,27,78,11,0,10,8
244,Until I Found You,Stephen Sanchez,1,2021,9,1,1/9/2021,Quarta-Feira,4427,4,726434358,69,100,154,20,202,A#,Major,34,25,51,69,0,18,4
245,Rich Flex,"Drake, 21 Savage",2,2022,11,4,4/11/2022,Sexta-Feira,4657,18,573633020,84,84,42,0,153,B,Minor,56,42,52,5,0,36,24
246,Easy On Me,Adele,1,2021,10,14,14/10/2021,Quinta-Feira,10195,20,1406111294,258,87,657,22,142,F,Major,60,13,37,58,0,13,3
247,Cartão Black,"MC Caverinha, KayBlack",2,2023,5,11,11/5/2023,Quinta-Feira,269,4,71573339,7,2,30,1,108,A,Minor,84,55,47,26,0,20,64
248,Danger ,"Offset, JID",2,2023,6,2,2/6/2023,Sexta-Feira,214,0,24975653,3,3,6,0,143,B,Major,83,25,69,4,0,23,12
249,Oi Balde ,Zé Neto & Cristiano,1,2023,2,14,14/2/2023,Terça-Feira,845,2,145458418,12,57,47,1,108,D,Major,67,55,67,60,0,80,5
250,The Real Slim Shady,Eminem,1,2000,1,1,1/1/2000,Sábado,20763,27,1424589568,81,53,3.271,1,104,F,Minor,95,78,66,3,0,4,6
